omim_id	gard_id	gard_number	mondo_link
OMIM:610474	GARD:0010012	10012	https://monarchinitiative.org/disease/MONDO:0012504
OMIM:611222	GARD:0009292	9292	https://monarchinitiative.org/disease/MONDO:0012638
OMIM:611722	GARD:0010289	10289	https://monarchinitiative.org/disease/MONDO:0012720
OMIM:612164	GARD:0012900	12900	https://monarchinitiative.org/disease/MONDO:0012812
OMIM:612242	GARD:0013018	13018	https://monarchinitiative.org/disease/MONDO:0012830
OMIM:612304	GARD:0013041	13041	https://monarchinitiative.org/disease/MONDO:0012860
OMIM:612313	GARD:0013206	13206	https://monarchinitiative.org/disease/MONDO:0012864
OMIM:612781	GARD:0003919	3919	https://monarchinitiative.org/disease/MONDO:0013006
OMIM:613001	GARD:0002108	2108	https://monarchinitiative.org/disease/MONDO:0013074
OMIM:613070	GARD:0010593	10593	https://monarchinitiative.org/disease/MONDO:0013111
OMIM:613371	GARD:0004950	4950	https://monarchinitiative.org/disease/MONDO:0013241
OMIM:613722	GARD:0013318	13318	https://monarchinitiative.org/disease/MONDO:0013389
OMIM:614290	GARD:0000035	35	https://monarchinitiative.org/disease/MONDO:0013668
OMIM:614558	GARD:0013085	13085	https://monarchinitiative.org/disease/MONDO:0013801
OMIM:614723	GARD:0010666	10666	https://monarchinitiative.org/disease/MONDO:0013869
OMIM:615473	GARD:0013378	13378	https://monarchinitiative.org/disease/MONDO:0014199
OMIM:615490	GARD:0012451	12451	https://monarchinitiative.org/disease/MONDO:0014208
OMIM:615511	GARD:0000547	547	https://monarchinitiative.org/disease/MONDO:0014220
OMIM:615905	GARD:0012901	12901	https://monarchinitiative.org/disease/MONDO:0014392
OMIM:615981	GARD:0000821	821	https://monarchinitiative.org/disease/MONDO:0014432
OMIM:616056	GARD:0012391	12391	https://monarchinitiative.org/disease/MONDO:0014477
OMIM:616078	GARD:0013379	13379	https://monarchinitiative.org/disease/MONDO:0014482
OMIM:616789	GARD:0012999	12999	https://monarchinitiative.org/disease/MONDO:0014773
OMIM:617053	GARD:0013108	13108	https://monarchinitiative.org/disease/MONDO:0014888
OMIM:146200	GARD:0002910	2910	https://monarchinitiative.org/disease/MONDO:0016390
OMIM:252600	GARD:0003806	3806	https://monarchinitiative.org/disease/MONDO:0018931
OMIM:216400	GARD:0001415	1415	https://monarchinitiative.org/disease/MONDO:0019569
OMIM:133540	GARD:0001420	1420	https://monarchinitiative.org/disease/MONDO:0019570
OMIM:302960	GARD:0006189	6189	https://monarchinitiative.org/disease/MONDO:0020603
OMIM:141500	GARD:0002638	2638	https://monarchinitiative.org/disease/MONDO:0020756
OMIM:181350	GARD:0010230	10230	https://monarchinitiative.org/disease/MONDO:0021569
OMIM:159001	GARD:0010230	10230	https://monarchinitiative.org/disease/MONDO:0021569
OMIM:601631	GARD:0002978	2978	https://monarchinitiative.org/disease/MONDO:0024456
OMIM:207790	GARD:0000017	17	https://monarchinitiative.org/disease/MONDO:0100129
OMIM:219800	GARD:0010074	10074	https://monarchinitiative.org/disease/MONDO:0100151
